4d9               | 2D       | 5/2 |                  0     |    L11883
                  |          | 3/2 |             16725.     |    L11883
                  |          |     |                        |           
4d8.5p            | 629040*  | 7/2 |            629040.     |    L11883
                  |          |     |                        |           
4p5.4d10          | 629234*  | 3/2 |            629234.     |    L11883
                  |          |     |                        |           
4d8.5p            | 644130*  | 3/2 |            644130.     |    L11883
                  |          |     |                        |           
4d8.5p            | 646494*  | 5/2 |            646494.     |    L11883
                  |          |     |                        |           
4d8.5p            | 646880*  | 7/2 |            646880.     |    L11883
                  |          |     |                        |           
4d8.5p            | 654245*  | 3/2 |            654245.     |    L11883
                  |          |     |                        |           
4d8.5p            | 656520*  | 1/2 |            656520.     |    L11883
                  |          |     |                        |           
4d8.5p            | 657645*  | 5/2 |            657645.     |    L11883
                  |          |     |                        |           
4d8.5p            | 658993*  | 7/2 |            658993.     |    L11883
                  |          |     |                        |           
4d8.5p            | 662160*  | 3/2 |            662160.     |    L11883
                  |          |     |                        |           
4d8.5p            | 664256*  | 5/2 |            664256.     |    L11883
                  |          |     |                        |           
4d8.5p            | 668525*  | 5/2 |            668525.     |    L11883
                  |          |     |                        |           
4d8.5p            | 669531*  | 7/2 |            669531.     |    L11883
                  |          |     |                        |           
4d8.5p            | 671045*  | 5/2 |            671045.     |    L11883
                  |          |     |                        |           
4d8.5p            | 672762*  | 7/2 |            672762.?    |    L11883
                  |          |     |                        |           
4d8.5p            | 674159*  | 3/2 |            674159.     |    L11883
                  |          |     |                        |           
4d8.5p            | 675652*  | 5/2 |            675652.     |    L11883
                  |          |     |                        |           
4d8.5p            | 675878*  | 7/2 |            675878.     |    L11883
                  |          |     |                        |           
4d8.4f            | 676893*  | 7/2 |            676893.     |    L11883
                  |          |     |                        |           
4d8.5p            | 677421*  | 3/2 |            677421.     |    L11883
                  |          |     |                        |           
4d8.5p            | 677704*  | 1/2 |            677704.     |    L11883
                  |          |     |                        |           
4d8.4f            | 678351*  | 5/2 |            678351.     |    L11883
                  |          |     |                        |           
4d8.5p            | 681425*  | 1/2 |            681425.     |    L11883
                  |          |     |                        |           
4d8.4f            | 682437*  | 3/2 |            682437.     |    L11883
                  |          |     |                        |           
4d8.5p            | 682838*  | 5/2 |            682838.     |    L11883
                  |          |     |                        |           
4d8.5p            | 682998*  | 3/2 |            682998.     |    L11883
                  |          |     |                        |           
4d8.5p            | 684240*  | 7/2 |            684240.     |    L11883
                  |          |     |                        |           
4d8.4f            | 684807*  | 1/2 |            684807.     |    L11883
                  |          |     |                        |           
4d8.4f            | 686273*  | 5/2 |            686273.     |    L11883
                  |          |     |                        |           
4d8.4f            | 687770*  | 7/2 |            687770.     |    L11883
                  |          |     |                        |           
4d8.5p            | 688121*  | 3/2 |            688121.     |    L11883
                  |          |     |                        |           
4d8.4f            | 689190*  | 3/2 |            689190.     |    L11883
                  |          |     |                        |           
4d8.5p            | 690757*  | 5/2 |            690757.     |    L11883
                  |          |     |                        |           
4d8.5p            | 691306*  | 3/2 |            691306.     |    L11883
                  |          |     |                        |           
4d8.5p            | 694056*  | 5/2 |            694056.     |    L11883
                  |          |     |                        |           
4d8.5p            | 695239*  | 1/2 |            695239.     |    L11883
                  |          |     |                        |           
4d8.5p            | 696975*  | 3/2 |            696975.     |    L11883
                  |          |     |                        |           
4d8.4f            | 697440*  | 3/2 |            697440.     |    L11883
                  |          |     |                        |           
4d8.4f            | 698751*  | 5/2 |            698751.     |    L11883
                  |          |     |                        |           
4d8.4f            | 701155*  | 5/2 |            701155.     |    L11883
                  |          |     |                        |           
4d8.5p            | 701735*  | 5/2 |            701735.     |    L11883
                  |          |     |                        |           
4d8.4f            | 702652*  | 1/2 |            702652.     |    L11883
                  |          |     |                        |           
4d8.5p            | 703997*  | 7/2 |            703997.     |    L11883
                  |          |     |                        |           
4d8.5p            | 705669*  | 1/2 |            705669.     |    L11883
                  |          |     |                        |           
4d8.4f            | 708748*  | 7/2 |            708748.     |    L11883
                  |          |     |                        |           
4d8.4f            | 711392*  | 5/2 |            711392.     |    L11883
                  |          |     |                        |           
4d8.4f            | 713643*  | 5/2 |            713643.     |    L11883
                  |          |     |                        |           
4d8.4f            | 721870*  | 5/2 |            721870.     |    L11883
                  |          |     |                        |           
4d8.5p            | 723216*  | 1/2 |            723216.     |    L11883
                  |          |     |                        |           
4d8.4f            | 725785*  | 1/2 |            725785.     |    L11883
                  |          |     |                        |           
4d8.4f            | 737104*  | 1/2 |            737104.     |    L11883
                  |          |     |                        |           
4d8.5p            | 745212*  | 3/2 |            745212.     |    L11883
                  |          |     |                        |           
4d8.4f            | 749681*  | 3/2 |            749681.     |    L11883
                  |          |     |                        |           
4d8.4f            | 753489*  | 1/2 |            753489.     |    L11883
                  |          |     |                        |           
4d8.4f            | 864592*  | 5/2 |            864592.     |    L11883
                  |          |     |                        |           
4d8.4f            | 870470*  | 7/2 |            870470.     |    L11883
                  |          |     |                        |           
4d8.4f            | 874794*  | 3/2 |            874794.     |    L11883
                  |          |     |                        |           
4d8.4f            | 881539*  | 3/2 |            881539.     |    L11883
                  |          |     |                        |           
4d8.4f            | 887203*  | 5/2 |            887203.     |    L11883
                  |          |     |                        |           
4p5.4d10          | 924721*  | 1/2 |            924721.     |    L11883
