                   |        |      |                           |           
2s2.2p3            | 4S*    |  3/2 |                  0.000    |     L7288
                   |        |      |                           |           
2s2.2p3            | 2D*    |  5/2 |              19224.464    |          
                   |        |  3/2 |              19233.177    |          
                   |        |      |                           |           
2s2.2p3            | 2P*    |  1/2 |              28838.920    |          
                   |        |  3/2 |              28839.306    |          
                   |        |      |                           |           
2s2.2p2.(3P).3s    | 4P     |  1/2 |              83284.070    |          
                   |        |  3/2 |              83317.830    |          
                   |        |  5/2 |              83364.620    |          
                   |        |      |                           |           
2s2.2p2.(3P).3s    | 2P     |  1/2 |              86137.350    |          
                   |        |  3/2 |              86220.510    |          
                   |        |      |                           |           
2s.2p4             | 4P     |  5/2 |              88107.260    |          
                   |        |  3/2 |              88151.170    |          
                   |        |  1/2 |              88170.570    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 2S*    |  1/2 |              93581.550    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 4D*    |  1/2 |              94770.880    |          
                   |        |  3/2 |              94793.490    |          
                   |        |  5/2 |              94830.890    |          
                   |        |  7/2 |              94881.820    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 4P*    |  1/2 |              95475.310    |          
                   |        |  3/2 |              95493.690    |          
                   |        |  5/2 |              95532.150    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 4S*    |  3/2 |              96750.840    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 2D*    |  3/2 |              96787.680    |          
                   |        |  5/2 |              96864.050    |          
                   |        |      |                           |           
2s2.2p2.(3P).3p    | 2P*    |  1/2 |              97770.180    |          
                   |        |  3/2 |              97805.840    |          
                   |        |      |                           |           
2s2.2p2.(1D).3s    | 2D     |  5/2 |              99663.427    |          
                   |        |  3/2 |              99663.912    |          
                   |        |      |                           |           
2s2.2p2.(3P).4s    | 4P     |  1/2 |             103622.51     |          
                   |        |  3/2 |             103667.16     |          
                   |        |  5/2 |             103735.48     |          
                   |        |      |                           |           
2s2.2p2.(3P).4s    | 2P     |  1/2 |             104144.820    |          
                   |        |  3/2 |             104221.630    |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 2P     |  3/2 |             104615.470    |          
                   |        |  1/2 |             104654.030    |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 4F     |  3/2 |             104664.130    |          
                   |        |  5/2 |             104683.060    |          
                   |        |  7/2 |             104716.950    |          
                   |        |  9/2 |             104765.77     |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 2F     |  5/2 |             104810.360    |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 4P     |  5/2 |             104825.110    |          
                   |        |  3/2 |             104859.73     |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 2F     |  7/2 |             104881.350    |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 4P     |  1/2 |             104886.10     |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 4D     |  1/2 |             104984.37     |          
                   |        |  3/2 |             104996.27     |          
                   |        |  5/2 |             105008.55     |          
                   |        |  7/2 |             105017.600    |          
                   |        |      |                           |           
2s2.2p2.(3P).3d    | 2D     |  3/2 |             105119.880    |          
                   |        |  5/2 |             105143.710    |          
                   |        |      |                           |           
2s2.2p2.(3P).4p    | 2S*    |  1/2 |             106477.800    |          
                   |        |      |                           |           
2s2.2p2.(3P).4p    | 4D*    |  1/2 |             106758.731    |          
                   |        |  3/2 |             106778.337    |          
                   |        |  5/2 |             106814.459    |          
